venta_id,fecha_pedido,fecha_entrega,mes_texto,dia_semana,categoria,producto,precio_unitario,cantidad,total,metodo_pago,cliente_tipo,promo_codigo,entregado
53,30/06/2025 05:35,30/06/2025 06:05,junio,lunes,Sandwich,Sandwich veggie,2700.0,3,8100.0,Efectivo,Visitante,2x1CAFE,sí
54,06/12/2024 06:25,06/12/2024 06:28,diciembre,viernes,Bebida caliente,Café americano,1200.0,3,3240.0,Tarjeta,No docente,DESC10,sí
55,13/09/2024 00:55,13/09/2024 01:16,septiembre,viernes,Snack,Chipá,1200.0,1,1200.0,QR,Estudiante,,sí
56,02/07/2025 21:58,02/07/2025 22:17,julio,miércoles,Bebida caliente,Café con leche,1500.0,2,2850.0,Tarjeta,Visitante,DESC10,sí
57,11/12/2024 16:20,11/12/2024 16:23,diciembre,miércoles,Pastelería,Medialuna,800.0,1,800.0,Tarjeta,No docente,DESC10,sí
58,25/01/2025 05:28,25/01/2025 05:42,enero,sábado,Bebida caliente,Té verde,1100.0,3,3300.0,Tarjeta,Docente,DESC10,sí
59,19/08/2025 17:07,19/08/2025 17:28,agosto,martes,Bebida fría,Limonada,1500.0,1,1425.0,Tarjeta,Docente,2x1CAFE,sí
60,07/11/2024 03:29,07/11/2024 03:50,noviembre,jueves,Sandwich,Sandwich de jamón y queso,2500.0,1,2500.0,Tarjeta,Estudiante,PROMOALMUERZO,sí
61,02/12/2024 04:14,02/12/2024 04:40,diciembre,lunes,Snack,Empanada de humita,1400.0,2,2800.0,Efectivo,Visitante,2x1CAFE,sí
62,02/06/2025 00:32,02/06/2025 00:37,junio,lunes,Sandwich,Sandwich de jamón y queso,2500.0,2,4500.0,Efectivo,Docente,PROMOALMUERZO,sí
63,21/08/2025 03:05,21/08/2025 03:12,agosto,jueves,Sandwich,Sandwich veggie,2700.0,2,5400.0,Efectivo,No docente,,sí
64,01/01/2025 06:34,01/01/2025 06:56,enero,miércoles,Pastelería,Tarta de manzana,2200.0,1,2200.0,Efectivo,No docente,DESC10,sí
65,27/04/2025 13:07,27/04/2025 13:18,abril,domingo,Bebida caliente,Café con leche,1500.0,1,1500.0,Efectivo,No docente,2x1CAFE,sí
66,05/10/2025 07:38,05/10/2025 07:55,octubre,domingo,Bebida caliente,Té verde,1100.0,3,3300.0,Tarjeta,No docente,,sí
67,02/09/2024 06:40,02/09/2024 07:03,septiembre,lunes,Bebida caliente,Café americano,1200.0,2,2400.0,QR,No docente,PROMOALMUERZO,sí
68,11/12/2024 05:12,11/12/2024 05:40,diciembre,miércoles,Pastelería,Tarta de manzana,2200.0,3,6270.0,QR,Estudiante,2x1CAFE,sí
69,18/08/2025 15:55,18/08/2025 16:12,agosto,lunes,Snack,Chipá,1200.0,2,2400.0,Tarjeta,No docente,,sí
70,03/10/2024 12:26,03/10/2024 12:54,octubre,jueves,Bebida fría,Agua mineral,900.0,1,900.0,Tarjeta,Docente,,sí
71,06/01/2025 09:23,06/01/2025 09:41,enero,lunes,Snack,Barra de cereal,850.0,3,2550.0,QR,No docente,2x1CAFE,sí
72,18/06/2025 19:54,18/06/2025 20:02,junio,miércoles,Snack,Chipá,1200.0,2,2280.0,QR,Visitante,PROMOALMUERZO,sí
73,25/11/2024 23:05,25/11/2024 23:17,noviembre,lunes,Bebida fría,Agua mineral,900.0,1,855.0,QR,Docente,,sí
74,25/06/2025 07:45,25/06/2025 08:15,junio,miércoles,Pastelería,Tarta de manzana,2200.0,3,6600.0,Efectivo,No docente,DESC10,sí
75,03/01/2025 22:59,03/01/2025 23:26,enero,viernes,Bebida fría,Jugo de naranja,1600.0,2,3200.0,Efectivo,Docente,PROMOALMUERZO,sí
76,30/10/2025 04:10,30/10/2025 04:25,octubre,jueves,Snack,Empanada de carne,1400.0,3,4200.0,Tarjeta,Visitante,PROMOALMUERZO,sí
77,27/12/2024 22:24,27/12/2024 22:29,diciembre,viernes,Sandwich,Sandwich de jamón y queso,2500.0,1,2500.0,Efectivo,Estudiante,PROMOALMUERZO,sí
78,06/12/2024 10:54,06/12/2024 11:18,diciembre,viernes,Bebida fría,Limonada,1500.0,1,1500.0,QR,Estudiante,,sí
79,11/02/2025 00:03,11/02/2025 00:17,febrero,martes,Bebida caliente,Té verde,1100.0,2,17600.0,Tarjeta,Visitante,,sí
80,03/05/2025 05:52,03/05/2025 06:22,mayo,sábado,Snack,Empanada de carne,1400.0,2,2800.0,QR,Visitante,DESC10,no
81,23/09/2024 06:43,23/09/2024 07:02,septiembre,lunes,Snack,Empanada de carne,1400.0,1,1400.0,Tarjeta,No docente,,sí
82,30/12/2024 00:06,30/12/2024 00:26,diciembre,lunes,Sandwich,Sandwich de jamón y queso,2500.0,1,2500.0,Tarjeta,Estudiante,2x1CAFE,sí
83,22/10/2024 21:13,22/10/2024 21:33,octubre,martes,Sandwich,Sandwich veggie,2700.0,1,2700.0,Tarjeta,Estudiante,DESC10,sí
84,15/09/2024 13:55,15/09/2024 14:14,septiembre,domingo,Sandwich,Sandwich de jamón y queso,2500.0,1,2500.0,Tarjeta,Docente,,sí
85,21/09/2024 22:50,21/09/2024 23:19,septiembre,sábado,Snack,Chipá,1200.0,1,1200.0,Tarjeta,Visitante,,sí
86,02/01/2025 04:59,02/01/2025 05:06,enero,jueves,Snack,Chipá,1200.0,1,1200.0,Tarjeta,Visitante,PROMOALMUERZO,sí
87,19/07/2025 07:11,19/07/2025 07:23,julio,sábado,Pastelería,Cookie de chocolate,1000.0,1,1000.0,Tarjeta,Visitante,,sí
88,21/02/2025 05:38,21/02/2025 05:41,febrero,viernes,Snack,Empanada de humita,1400.0,1,1260.0,Efectivo,Visitante,PROMOALMUERZO,sí
89,22/03/2025 01:40,22/03/2025 02:04,marzo,sábado,Snack,Barra de cereal,850.0,1,807.5,Tarjeta,Docente,PROMOALMUERZO,sí
90,13/04/2025 15:58,13/04/2025 16:05,abril,domingo,Bebida caliente,Café americano,1200.0,3,3240.0,Tarjeta,Estudiante,PROMOALMUERZO,sí
91,28/08/2025 10:36,28/08/2025 11:06,agosto,jueves,Snack,Empanada de carne,1400.0,1,1260.0,Efectivo,No docente,PROMOALMUERZO,sí
92,13/03/2025 06:13,13/03/2025 06:40,marzo,jueves,Bebida fría,Agua mineral,900.0,1,900.0,Tarjeta,No docente,PROMOALMUERZO,sí
93,17/06/2025 20:20,17/06/2025 20:32,junio,martes,Snack,Chipá,1200.0,1,1080.0,Tarjeta,Visitante,,sí
94,30/01/2025 09:36,30/01/2025 09:51,enero,jueves,Pastelería,Cookie de chocolate,1000.0,1,950.0,Efectivo,Estudiante,,sí
95,10/02/2025 03:41,10/02/2025 04:06,febrero,lunes,Bebida fría,Agua mineral,900.0,1,900.0,Efectivo,Docente,DESC10,sí
96,06/03/2025 01:06,06/03/2025 01:26,marzo,jueves,Bebida caliente,Té verde,1100.0,3,2970.0,QR,Visitante,2x1CAFE,sí
97,06/10/2024 12:53,06/10/2024 13:23,octubre,domingo,Bebida fría,Limonada,1500.0,1,1500.0,QR,Docente,2x1CAFE,sí
98,26/01/2025 20:44,26/01/2025 20:48,enero,domingo,Bebida caliente,Café americano,1200.0,1,1080.0,Tarjeta,Visitante,DESC10,sí
99,05/12/2024 07:51,05/12/2024 08:08,diciembre,jueves,Sandwich,Sandwich de jamón y queso,2500.0,1,2375.0,Efectivo,Estudiante,,sí
100,23/01/2025 16:09,23/01/2025 16:31,enero,jueves,Pastelería,Cookie de chocolate,1000.0,1,1000.0,QR,No docente,,sí
101,28/04/2025 09:03,28/04/2025 09:32,abril,lunes,Bebida caliente,Café americano,1200.0,1,1140.0,Tarjeta,Estudiante,PROMOALMUERZO,sí
102,08/10/2024 06:12,08/10/2024 06:33,octubre,martes,Snack,Empanada de carne,1400.0,1,1400.0,QR,Visitante,DESC10,sí
103,19/09/2025 00:44,19/09/2025 01:08,septiembre,viernes,Snack,Empanada de humita,1400.0,1,1400.0,Tarjeta,No docente,2x1CAFE,sí
104,12/09/2025 19:24,12/09/2025 19:39,septiembre,viernes,Bebida caliente,Latte,1700.0,1,1700.0,Tarjeta,Docente,PROMOALMUERZO,sí
105,23/09/2025 09:02,23/09/2025 09:21,septiembre,martes,Pastelería,Tarta de manzana,2200.0,2,4180.0,Efectivo,No docente,DESC10,sí
106,15/11/2024 16:25,15/11/2024 16:33,noviembre,viernes,Bebida fría,Agua mineral,900.0,3,2700.0,Tarjeta,No docente,2x1CAFE,sí
107,25/05/2025 15:35,25/05/2025 16:00,mayo,domingo,Bebida caliente,Café americano,1200.0,2,2280.0,QR,Estudiante,DESC10,sí
108,02/06/2025 02:54,02/06/2025 03:11,junio,lunes,Snack,Empanada de humita,1400.0,1,1330.0,QR,Visitante,PROMOALMUERZO,sí
109,05/02/2025 12:44,05/02/2025 12:54,febrero,miércoles,Bebida caliente,Café americano,1200.0,1,1140.0,Efectivo,Docente,PROMOALMUERZO,sí
110,29/04/2025 19:12,29/04/2025 19:15,abril,martes,Pastelería,Medialuna,800.0,1,800.0,QR,Visitante,,sí
111,10/09/2025 01:00,10/09/2025 01:13,septiembre,miércoles,Snack,Chipá,1200.0,1,1200.0,QR,No docente,PROMOALMUERZO,sí
112,19/03/2025 23:30,19/03/2025 23:37,marzo,miércoles,Pastelería,Medialuna,800.0,1,800.0,Tarjeta,Estudiante,DESC10,sí
113,06/05/2025 05:13,06/05/2025 05:18,mayo,martes,Bebida caliente,Té verde,1100.0,1,1100.0,QR,Docente,DESC10,sí
114,12/09/2024 01:42,12/09/2024 01:46,septiembre,jueves,Sandwich,Sandwich veggie,2700.0,2,5130.0,QR,Estudiante,DESC10,sí
115,30/09/2024 22:05,30/09/2024 22:15,septiembre,lunes,Sandwich,Sandwich de jamón y queso,2500.0,1,2500.0,Tarjeta,No docente,,sí
116,05/10/2024 17:56,05/10/2024 18:25,octubre,sábado,Sandwich,Sandwich veggie,2700.0,1,2700.0,Efectivo,No docente,DESC10,sí
117,21/02/2025 01:49,21/02/2025 01:59,febrero,viernes,Bebida caliente,Té verde,1100.0,1,1100.0,Efectivo,Visitante,PROMOALMUERZO,sí
118,20/10/2025 04:15,20/10/2025 04:32,octubre,lunes,Pastelería,Tarta de manzana,2200.0,1,2200.0,Efectivo,No docente,PROMOALMUERZO,sí
119,10/08/2025 06:20,10/08/2025 06:28,agosto,domingo,Bebida caliente,Latte,1700.0,1,1615.0,Tarjeta,Estudiante,,sí
120,19/11/2024 04:56,19/11/2024 05:05,noviembre,martes,Bebida fría,Jugo de naranja,1600.0,1,1600.0,Efectivo,Estudiante,DESC10,no
121,08/02/2025 22:45,08/02/2025 22:52,febrero,sábado,Snack,Chipá,1200.0,1,1200.0,QR,Visitante,PROMOALMUERZO,sí
122,30/10/2025 22:29,30/10/2025 22:37,octubre,jueves,Pastelería,Medialuna,800.0,3,2400.0,QR,No docente,,sí
123,23/11/2024 01:06,23/11/2024 01:16,noviembre,sábado,Bebida caliente,Té verde,1100.0,3,3300.0,Efectivo,No docente,,sí
124,17/06/2025 20:17,17/06/2025 20:23,junio,martes,Sandwich,Sandwich de jamón y queso,2500.0,2,4500.0,Efectivo,Docente,,sí
125,24/05/2025 01:22,24/05/2025 01:34,mayo,sábado,Snack,Empanada de carne,1400.0,1,1330.0,QR,No docente,,sí
126,02/12/2024 19:56,02/12/2024 20:06,diciembre,lunes,Pastelería,Medialuna,800.0,2,1520.0,QR,Visitante,,sí
127,30/10/2025 04:21,30/10/2025 04:28,octubre,jueves,Sandwich,Sandwich veggie,2700.0,3,7290.0,QR,Visitante,,sí
128,17/02/2025 04:43,17/02/2025 05:07,febrero,lunes,Bebida fría,Jugo de naranja,1600.0,1,1600.0,Tarjeta,Estudiante,,sí
129,01/12/2024 07:41,01/12/2024 08:03,diciembre,domingo,Pastelería,Medialuna,800.0,1,800.0,QR,Visitante,,sí
130,24/09/2024 05:43,24/09/2024 05:47,septiembre,martes,Pastelería,Medialuna,800.0,1,760.0,QR,No docente,,sí
131,19/05/2025 08:04,19/05/2025 08:33,mayo,lunes,Snack,Empanada de carne,1400.0,2,2660.0,Efectivo,Visitante,2x1CAFE,sí
132,02/10/2025 14:18,02/10/2025 14:21,octubre,jueves,Bebida caliente,Café americano,1200.0,1,1200.0,Efectivo,Estudiante,2x1CAFE,sí
133,29/07/2025 13:10,29/07/2025 13:29,julio,martes,Bebida fría,Limonada,1500.0,1,1500.0,Tarjeta,No docente,DESC10,sí
134,18/11/2024 09:45,18/11/2024 09:54,noviembre,lunes,Snack,Empanada de humita,1400.0,1,1400.0,Efectivo,No docente,PROMOALMUERZO,sí
135,23/12/2024 19:12,23/12/2024 19:33,diciembre,lunes,Pastelería,Tarta de manzana,2200.0,3,6600.0,QR,Docente,2x1CAFE,sí
136,09/08/2024 10:27,09/08/2024 10:47,agosto,viernes,Snack,Empanada de humita,1400.0,1,1400.0,Tarjeta,Estudiante,PROMOALMUERZO,sí
137,07/06/2025 08:59,07/06/2025 09:24,junio,sábado,Pastelería,Tarta de manzana,2200.0,1,1980.0,Tarjeta,Estudiante,PROMOALMUERZO,sí
138,15/08/2025 00:31,15/08/2025 00:41,agosto,viernes,Snack,Empanada de carne,1400.0,1,1400.0,Tarjeta,Docente,,sí
139,02/08/2024 04:10,02/08/2024 04:20,agosto,viernes,Snack,Empanada de humita,1400.0,1,1400.0,QR,Estudiante,DESC10,sí
140,12/10/2025 14:27,12/10/2025 14:53,octubre,domingo,Bebida fría,Jugo de naranja,1600.0,1,1600.0,Tarjeta,Visitante,,sí
141,08/08/2024 08:46,08/08/2024 09:11,agosto,jueves,Sandwich,Sandwich de jamón y queso,2500.0,1,2250.0,QR,No docente,,sí
142,11/11/2024 00:48,11/11/2024 00:51,noviembre,lunes,Snack,Chipá,1200.0,3,3600.0,Efectivo,Estudiante,PROMOALMUERZO,sí
143,31/01/2025 10:25,31/01/2025 10:50,enero,viernes,Bebida fría,Jugo de naranja,1600.0,2,3200.0,Tarjeta,No docente,PROMOALMUERZO,sí
144,08/09/2024 02:20,08/09/2024 02:42,septiembre,domingo,Snack,Empanada de humita,1400.0,1,1400.0,Efectivo,Docente,PROMOALMUERZO,sí
145,31/12/2024 05:11,31/12/2024 05:40,diciembre,martes,Bebida fría,Jugo de naranja,1600.0,1,1440.0,Efectivo,Visitante,2x1CAFE,sí
146,28/08/2025 09:22,28/08/2025 09:33,agosto,jueves,Bebida caliente,Café americano,1200.0,1,1200.0,Tarjeta,Visitante,DESC10,sí
147,02/02/2025 07:20,02/02/2025 07:45,febrero,domingo,Snack,Empanada de humita,1400.0,3,3990.0,Tarjeta,Visitante,PROMOALMUERZO,sí
148,21/03/2025 16:57,21/03/2025 17:16,marzo,viernes,Bebida fría,Agua mineral,900.0,3,2700.0,QR,Visitante,DESC10,sí
149,13/09/2024 16:59,13/09/2024 17:07,septiembre,viernes,Bebida caliente,Café con leche,1500.0,1,1350.0,Tarjeta,Visitante,PROMOALMUERZO,sí
150,11/01/2025 23:21,11/01/2025 23:37,enero,sábado,Snack,Empanada de humita,1400.0,1,1400.0,Efectivo,No docente,,no
151,24/04/2025 18:50,24/04/2025 19:18,abril,jueves,Bebida caliente,Té verde,1100.0,3,3300.0,QR,Estudiante,DESC10,sí
152,21/09/2024 11:26,21/09/2024 11:31,septiembre,sábado,Bebida fría,Jugo de naranja,1600.0,1,1600.0,Efectivo,No docente,2x1CAFE,sí
153,02/10/2025 10:35,02/10/2025 10:57,octubre,jueves,Bebida caliente,Latte,1700.0,1,1615.0,Tarjeta,No docente,PROMOALMUERZO,sí
154,01/09/2024 19:04,01/09/2024 19:15,septiembre,domingo,Bebida caliente,Latte,1700.0,1,1700.0,Efectivo,Docente,,sí
155,23/06/2025 05:13,23/06/2025 05:22,junio,lunes,Bebida caliente,Té verde,1100.0,1,1045.0,QR,Visitante,DESC10,sí
156,21/10/2025 09:08,21/10/2025 09:27,octubre,martes,Bebida caliente,Café americano,1200.0,1,1200.0,Efectivo,Estudiante,2x1CAFE,sí
157,09/04/2025 02:51,09/04/2025 03:17,abril,miércoles,Pastelería,Cookie de chocolate,1000.0,1,1000.0,Tarjeta,Docente,,sí
158,09/04/2025 07:50,09/04/2025 08:04,abril,miércoles,Bebida fría,Limonada,1500.0,1,1350.0,Efectivo,Estudiante,,sí
159,01/12/2024 02:10,01/12/2024 02:28,diciembre,domingo,Sandwich,Sandwich de jamón y queso,2500.0,1,2250.0,Tarjeta,Docente,PROMOALMUERZO,sí
160,24/11/2024 00:50,24/11/2024 01:19,noviembre,domingo,Snack,Empanada de carne,1400.0,3,3780.0,Tarjeta,Visitante,2x1CAFE,sí
161,09/11/2024 15:22,09/11/2024 15:42,noviembre,sábado,Bebida caliente,Latte,1700.0,1,1530.0,Tarjeta,No docente,PROMOALMUERZO,sí
162,12/10/2025 04:24,12/10/2025 04:37,octubre,domingo,Snack,Empanada de carne,1400.0,1,1400.0,Tarjeta,Visitante,PROMOALMUERZO,sí
163,22/07/2025 19:03,22/07/2025 19:27,julio,martes,Sandwich,Sandwich de jamón y queso,2500.0,1,2500.0,Tarjeta,No docente,2x1CAFE,sí
164,11/10/2025 12:55,11/10/2025 13:00,octubre,sábado,Snack,Barra de cereal,850.0,1,765.0,Tarjeta,Estudiante,,sí
165,20/10/2025 21:20,20/10/2025 21:25,octubre,lunes,Pastelería,Medialuna,800.0,1,800.0,Efectivo,Docente,DESC10,sí
166,10/12/2024 03:20,10/12/2024 03:46,diciembre,martes,Bebida fría,Jugo de naranja,1600.0,2,3200.0,QR,Estudiante,2x1CAFE,sí
167,10/07/2025 00:05,10/07/2025 00:12,julio,jueves,Bebida caliente,Café con leche,1500.0,1,1500.0,QR,Docente,,sí
168,21/11/2024 02:04,21/11/2024 02:27,noviembre,jueves,Pastelería,Tarta de manzana,2200.0,1,2200.0,QR,Docente,DESC10,sí
169,11/01/2025 20:57,11/01/2025 21:25,enero,sábado,Pastelería,Cookie de chocolate,1000.0,3,3000.0,QR,Docente,2x1CAFE,sí
170,28/03/2025 09:26,28/03/2025 09:53,marzo,viernes,Pastelería,Medialuna,800.0,2,1600.0,QR,Estudiante,PROMOALMUERZO,sí
171,23/10/2025 18:15,23/10/2025 18:39,octubre,jueves,Bebida fría,Jugo de naranja,1600.0,3,4560.0,Efectivo,No docente,,sí
172,23/02/2025 08:29,23/02/2025 08:34,febrero,domingo,Bebida caliente,Café americano,1200.0,3,3600.0,Tarjeta,Visitante,2x1CAFE,sí
173,10/12/2024 07:06,10/12/2024 07:11,diciembre,martes,Snack,Barra de cereal,850.0,2,1530.0,QR,Estudiante,DESC10,sí
174,05/07/2025 21:00,05/07/2025 21:05,julio,sábado,Bebida caliente,Café americano,1200.0,3,3600.0,QR,Docente,,sí
175,06/11/2024 18:48,06/11/2024 18:55,noviembre,miércoles,Pastelería,Medialuna,800.0,1,760.0,QR,Estudiante,DESC10,sí
176,15/02/2025 06:08,15/02/2025 06:21,febrero,sábado,Bebida caliente,Café con leche,1500.0,1,1350.0,Tarjeta,Estudiante,,sí
177,13/09/2025 15:02,13/09/2025 15:09,septiembre,sábado,Bebida fría,Jugo de naranja,1600.0,1,1440.0,Tarjeta,No docente,,sí
178,06/08/2025 23:26,06/08/2025 23:46,agosto,miércoles,Bebida fría,Jugo de naranja,1600.0,3,4800.0,Tarjeta,Visitante,,sí
179,19/05/2025 16:38,19/05/2025 16:42,mayo,lunes,Sandwich,Sandwich veggie,2700.0,1,2700.0,Efectivo,Docente,PROMOALMUERZO,sí
180,06/07/2025 21:34,06/07/2025 22:03,julio,domingo,Sandwich,Sandwich de jamón y queso,2500.0,1,2500.0,Tarjeta,No docente,,sí
181,13/09/2025 16:17,13/09/2025 16:29,septiembre,sábado,Bebida caliente,Café con leche,1500.0,2,2850.0,Tarjeta,Docente,,sí
182,29/10/2025 07:23,29/10/2025 07:32,octubre,miércoles,Bebida caliente,Latte,1700.0,1,1700.0,QR,Estudiante,,sí
